name,lat,lon,active,notes,facing_bearing_deg
Williamstown,-37.8679,144.8926,true,Port Phillip Bay - sheltered from ocean swell by The Heads; expect local wind chop to dominate over model swell/wave figures,100
Robe,-37.1667,139.7500,true,"SA Limestone Coast - open to Southern Ocean swell via Guichen Bay, partial shelter from the south/west",200
Port MacDonnell,-38.0500,140.6997,true,"SA Limestone Coast, near the Victorian border - fully exposed Southern Ocean coastline",190
Cape Bridgewater,-38.3833,141.4167,true,"West side of the Portland peninsula - fully exposed to Southern Ocean swell, generally the rougher side of Portland",220
Portland Bay,-38.3480,141.6110,true,"East/harbour side of the Portland peninsula - more sheltered than Cape Bridgewater, faces Portland Bay",160
Bay of Islands,-38.5849,142.8255,true,"Great Ocean Road, between Peterborough and Warrnambool - exposed Southern Ocean coastline, rugged limestone coast",180
Cape Otway Lightstation,-38.8556,143.5136,true,"Southernmost tip of the Otway coast - fully exposed to Bass Strait/Southern Ocean, one of the most swell-exposed points on this list",200
Apollo Bay,-38.7565,143.6710,true,"East side of Cape Otway - some shelter from the cape itself, still open to Bass Strait swell",160
Kennett River,-38.7311,143.8497,true,Great Ocean Road between Apollo Bay and Lorne - open Bass Strait coastline (note: corrected from 'Kennee River'),180
Torquay,-38.3350,144.3230,true,"Surf Coast at the entrance to Port Phillip Bay/Bass Strait junction - open coast, popular surf/dive area",190
Port Phillip Heads (J5 Submarine),-38.3108,144.5686,true,"Just outside Port Phillip Heads near Barwon Heads, the 'Victorian Ships' Graveyard' - strong tidal currents through The Rip, exposed to Bass Strait swell",180
Queenscliff,-38.2667,144.6600,true,"Inside Port Phillip Heads opposite Point Nepean - strong tidal currents near The Rip, more sheltered than the open coast",200
Blairgowrie Back Beach,-38.3760,144.7700,true,"Mornington Peninsula ocean side (Bass Strait) - exposed, distinct from the sheltered bay-side front beach",180
Cape Schanck,-38.5090,144.8890,true,Tip of the Mornington Peninsula - fully exposed to Bass Strait/Southern Ocean swell,190
Cape Paterson,-38.6690,145.6280,true,"South Gippsland coast - exposed Bass Strait swell, reef and surf breaks",180
Wilsons Prom (West - Norman Bay),-39.0300,146.0780,true,"Tidal River/Norman Bay, west side of the Prom - faces Bass Strait/Waratah Bay",220
Wilsons Prom (East - Sealers Cove),-38.9500,146.4430,true,"Sealers Cove, east side of the Prom - faces Bass Strait/Corner Inlet, remote",120
Mallacoota,-37.5560,149.7550,true,Far East Gippsland near the NSW border - exposed Bass Strait/Tasman Sea coast,150
Eden,-37.0670,149.9010,true,"NSW far south coast - Twofold Bay gives some shelter, open Tasman Sea nearby",120
Green Cape,-37.2500,150.0500,true,"Headland south of Eden in Beowa National Park - fully exposed Tasman Sea, strong currents",110
Tathra,-36.7310,149.9750,true,"NSW far south coast - open Tasman Sea, small wharf area gives minor shelter",90
Bermagui,-36.4260,150.0680,true,"NSW far south coast - open Tasman Sea, popular game-fishing/dive town",90
Narooma,-36.2140,150.1330,true,NSW far south coast - open Tasman Sea with a sheltered inlet/bar entrance nearby,90
Batemans Bay (Inside),-35.7100,150.1750,true,Inside the Clyde River estuary/bay - sheltered from ocean swell,100
Batemans Bay (Outside),-35.7280,150.2050,true,Ocean side near the bay entrance/heads - open Tasman Sea,90
Ulladulla,-35.3550,150.4740,true,"NSW south coast - small harbour gives some shelter, open coast nearby (corrected from 'Uladulla')",90
Jervis Bay (Inside),-35.0330,150.6870,true,"Inside Jervis Bay near Huskisson - well sheltered, often calmer/clearer water",110
Jervis Bay (Outside - Point Perpendicular),-35.0940,150.8054,true,"At the bay entrance - fully exposed Tasman Sea, dramatic cliffs, strong currents",110
Shellharbour,-34.5820,150.8690,true,"Illawarra coast - semi-sheltered small harbour, open coast nearby",90
Terrigal,-33.4480,151.4430,true,"Central Coast NSW - open Tasman Sea, headland gives partial shelter",90
Fingal Bay,-32.7503,152.1675,true,Near Nelson Bay/Port Stephens - moderately sheltered bay next to Fingal Spit,70
Broughton Island,-32.6095,152.3170,true,"Offshore island off Port Stephens - exposed, renowned dive location",80
Seal Rocks,-32.4188,152.5045,true,"Mid-north coast NSW - open Tasman Sea, popular dive/surf spot",90
Forster,-32.1810,152.5140,true,"Great Lakes region NSW - open ocean side, with sheltered lake systems nearby",90
South West Rocks,-30.8851,153.0410,true,"Mid-north coast NSW near Trial Bay - Trial Bay gives some shelter, open coast nearby",60
